SKU,Product Name,Store Description,Price (CAD),Base Price (CAD),Surcharge Price (CAD),Line/Category,Availability,Product URL,Price Type,Updated UTC
nHD-cover-Fabric-3,Access Point Lite Cover,"Customized encasing for U6+, U6 Lite and nanoHD.",65.00,65.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/nhd-cover,Exact,2026-08-21T06:26:29+00:00
nHD-cover-Marble-3,Access Point Lite Cover,"Customized encasing for U6+, U6 Lite and nanoHD.",65.00,65.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/nhd-cover,Exact,2026-08-21T06:26:29+00:00
nHD-cover-Wood-3,Access Point Lite Cover,"Customized encasing for U6+, U6 Lite and nanoHD.",65.00,65.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/nhd-cover,Exact,2026-08-21T06:26:29+00:00
EXTD-cover-Black-3,Access Point U6 Extender/BeaconHD Cover,Customized encasing for U6 Extender and BeaconHD.,70.00,70.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/cover-for-unifi-access-point-beaconhd-3-pack,Exact,2026-08-21T06:26:29+00:00
EXTD-cover-Concrete-3,Access Point U6 Extender/BeaconHD Cover,Customized encasing for U6 Extender and BeaconHD.,70.00,70.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/cover-for-unifi-access-point-beaconhd-3-pack,Exact,2026-08-21T06:26:29+00:00
EXTD-cover-Wood-3,Access Point U6 Extender/BeaconHD Cover,Customized encasing for U6 Extender and BeaconHD.,70.00,70.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/cover-for-unifi-access-point-beaconhd-3-pack,Exact,2026-08-21T06:26:29+00:00
UACC-U7-Cover,Access Point U7 Cover,Protective cover for the U7 Pro and U7 Pro Max that can be painted for a custom appearance.,49.00,49.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-u7-cover,Exact,2026-08-21T06:26:29+00:00
UACC-AI-Key-RM,AI Key Rack Mount,1U rack-mount accessory that supports up to three AI Keys.,115.00,115.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-ai-key-rm,Exact,2026-08-21T06:26:29+00:00
UACC-AI-Port-RM,AI Port Rack Mount,1U rack-mount accessory that supports up to six AI Ports.,99.00,99.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-ai-port-rm,Exact,2026-08-21T06:26:29+00:00
UACC-AI-Speaker-FM,AI Speaker Flush Mount,"Flush mount accessory for AI Speaker that enables near-invisible, recessed installation.",85.00,85.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-ai-speaker-fm,Exact,2026-08-21T06:26:29+00:00
UACC-AP-AM,AP Arm Mount,Wall mount for full-size UniFi Flagship WiFi access points.,39.00,39.00,,Accessories,Out of Stock,https://ca.store.ui.com/ca/en/products/uacc-ap-am,Exact,2026-08-21T06:26:29+00:00
UACC-Cable-Speaker-150M,Audio Cable,"Audio cable features an easy-to-strip jacket for quick installation, ensuring clear and consistent performance in every connection.",429.00,429.00,,Accessories,Out of Stock,https://ca.store.ui.com/ca/en/products/uacc-cable-speaker-150m,Exact,2026-08-21T06:26:29+00:00
UACC-HDD-S-1TB,"Basic Capacity 3.5"" HDD, 1 TB","3.5"" SATA hard drive optimized for small-scale Protect camera security deployments and cloud gateway NVR storage.",170.00,170.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-hdd-s-1tb,Exact,2026-08-21T06:26:29+00:00
UACC-HDD-S-4TB,"Basic Capacity 3.5"" HDD, 4 TB","3.5"" SATA hard drive optimized for small-scale Protect camera security deployments and cloud gateway NVR storage.",229.00,229.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-hdd-s-4tb,Exact,2026-08-21T06:26:29+00:00
UACC-Keystone-Coupler-C6,"Cat6 Keystone Coupler, 12-Pack",Pass-through Cat6 keystone coupler for connecting pre-terminated Ethernet cables seamlessly.,41.00,41.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-keystone-coupler-c6,Exact,2026-08-21T06:26:29+00:00
UACC-Keystone-Jack-C6,"Cat6 Keystone Jack, 12-Pack",Toolless keystone for terminating a Cat6 Ethernet jack without the use of a punch-down or crimping tool.,41.00,41.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-keystone-jack-c6,Exact,2026-08-21T06:26:29+00:00
UACC-Keystone-Coupler-C6A,"Cat6A Keystone Coupler, 12-Pack",Pass-through Cat6A keystone coupler for connecting pre-terminated Ethernet cables seamlessly.,55.00,55.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-keystone-coupler-c6a,Exact,2026-08-21T06:26:29+00:00
UACC-Keystone-Jack-C6A,"Cat6A Keystone Jack, 12-Pack",Toolless keystone for terminating a Cat6A Ethernet jack without the use of a punch-down or crimping tool.,55.00,55.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-keystone-jack-c6a,Exact,2026-08-21T06:26:29+00:00
UACC-UCG-Industrial-RM,Cloud Gateway Industrial Rack Mount,Rack mount for the Cloud Gateway Industrial.,99.00,99.00,,Accessories,In Stock,https://ca.store.ui.com/ca/en/products/uacc-ucg-industrial-rm,Exact,2026-08-21T06:26:29+00:00
